comid,huc8_from,huc8_to
721640,01010002,01010008
816963,01010010, 
817437,01010005, 
818525,01010011, 
1025266,01030001,01030003
1700610,01020001,01020005
1713474,01020002,01020005
1726313,01020004,01020005
1731416,01020003,01020005
1737140,01020005,01050002
2681538,01050002, 
3319032,01030002,01030003
3325726,01030003,01050003
4287763,01010003,01010008
4287919,01010008,01010009
4288597,01010007,01010008
4289999,01010006,01010007
4292649,01010009, 
4572397,01080102,01080103
4594643,01080101,01080103
5197180,01050001,01050004
5197182,01050004, 
5205320,01050003, 
5846424,01060003, 
5868233,01090001, 
5881881,01090002, 
6080293,01070004,01070006
6086593,01080105,01080106
6101885,01080206,01080205
6109553,01080207,01080205
6128415,01090003,01090004
6134087,01090004, 
6141214,01090005, 
6151645,01100001,01100002
6163267,01100002,01100003
6170754,01100003, 
6178614,01100004, 
6713545,01040002,01050003
6724863,01060001, 
6739762,01070002,01070006
6742822,01070006, 
6745028,01070005,01070006
6752138,01070001,01070006
6762188,01070003,01070006
6778583,01080202,01080201
7698896,01080204,01080201
7698936,01080201,01080205
7703046,01080205, 
7718444,01100005, 
7733853,01100006, 
9316927,01060002,01060001
9327640,01080103,01080104
9327854,01080104,01080106
9331544,01080106,01080107
9332552,01080107,01080201
10297950,01080203,01080201
19336191,01040001,01040002
166195783,01010004, 
1752159,02040102,02040101
2607831,02050107,02050301
2619256,02040101,02040104
2741462,02040103,02040104
3249000,02020005,02020004
4154512,02040104,02040105
4188251,02040106,02040105
4200544,02050106,02050107
4481733,02040105,02040201
4488276,02040201,02040202
4509284,02070008,02070010
4521524,02050301,02050305
4529643,02070010,02070011
4539621,02070011,02080101
4671387,02050201,02050203
4683468,02050302,02050304
4693127,02050303,02050304
4699961,02050304,02050305
4722201,02050305,02050306
4726685,02050306,02060001
4767502,02060002,02060001
4784841,02040203,02040202
5894852,02070004,02070008
5907065,02070005,02070007
6186156,02020003,02020006
6191370,02020006,02020008
6206826,02020007,02020008
6228828,02020008,02030101
6242077,02030102, 
6251384,02030103,02030104
6261880,02030104,02040301
6264182,02030105,02030104
7718580,02030203,
8077930,02040207,02040204
8093107,02050101,02050103
8103757,02050103,02050106
8110941,02050104,02050105
8121517,02050105,02050106
8130207,02050202,02050203
8135598,02050203,02050206
8141518,02050204,02050203
8145274,02050205,02050206
8153841,02050206,02050301
8377087,02060004,02060001
8384655,02080110,02080101
8394180,02080109,02080110
8403917,02080111,02080101
8415649,02040303, 
8426526,02070001,02070003
8431696,02070003,02070004
8441255,02070006,02070007
8445028,02070007,02070008
8450956,02070009,02070008
8457630,02080102,02080101
8457872,02080101,02040304
8467611,02080103,02080104
8479948,02080104,02080101
8491776,02080105,02080107
8503852,02080106,02080107
8523641,02080201,02080203
8539955,02080202,02080203
8557837,02080203,02080205
8568403,02080204,02080205
8573941,02080205,02080206
9409382,02060005,02060001
9424041,02050102,02050103
9436873,02040302, 
9455643,02040301, 
9485218,02040206,02040204
9496576,02030202,02030104
9509774,02030201, 
9888492,02080108,02080101
9897866,02080107,02080101
10055266,02080208,02080101
10067555,02080207,02080206
10069351,02080206,02080208
11690206,02060003,02060001
11909682,02060006,02060001
11909762,02060001,02080101
12057850,02040304, 
14363660,02070002,02070003
22294808,02020002,02020003
22307225,02020001,02020003
22751985,02020004,02020003
24902758,02040205,02040204
24903452,02040202,02040204
24903800,02040204,02040303
26408400,02030101,02030104
54524,03090206,03090203
91972,03090202, 
448424,03140304,03140305
478975,03140102, 
793996,03140104,03140105
800227,03140305,03140105
800351,03140105, 
899379,03140103,03140105
1064909,03070101,03070102
1953637,03070102,03070106
1970745,03020104,03020105
1985180,03110102, 
2001066,03110201,03110205
2017342,03110202,03110201
2048245,03130001,03130002
2078061,03130013,03130014
2138022,03130012,03130011
2148317,03110204,03110203
2172729,03140106,03140107
2179057,03140101,03140102
2189815,03140201,03140203
2222304,03140202,03140203
2232697,03110206,03110205
2236037,03110205, 
2245041,03140203,03140102
2287399,03110103, 
2297880,03130011,03130014
2311949,03130004,03130011
2378761,03140301,03140304
2378875,03140302,03140301
2402707,03140303,03140304
2953338,03120002,03120003
3295814,03130002,03130003
3340772,03110101, 
3350989,03020103,03020104
3359364,03020105, 
3422262,03130006,03130008
3425742,03130008,03130004
3443790,03130003,03130004
3517838,03130010,03130008
6270090,03060101,03060102
6270164,03060102,03060103
6280171,03060104,03060103
6290159,03060105,03060103
6318405,03060204,03060109
6361906,03070103,03070104
6384197,03070105,03070104
6394631,03070202,03070201
6399779,03070203, 
6399895,03070201,03070203
6423152,03130005,03130006
6460435,03130007,03130008
6471864,03130009,03130008
6479057,03150102,03150103
6489842,03150103,03150105
8627499,03010101,03010102
8653246,03010104,03010102
8653306,03010102,03010106
8696401,03010103,03010104
8710865,03010105,03010104
8731529,03010201,03010203
8749679,03010204,03010203
